tourney_id,tourney_name,surface,draw_size,tourney_level
2014-M-FU-CHI-07A-2014,Chile F7,Clay,32,S
1997-M-SA-FRA-06A-1997d,France 6 Masters 4,Hard,32,S
2013-M-FU-VIE-01A-2013,Vietnam F1,Hard,32,S
1991-758,Venice CH,Clay,32,C
2005-M-FU-NGR-03A-2005,Nigeria F3,Hard,32,S
2017-0421,Canada Masters,Hard,64,M
1972-355,Salisbury,Hard,64,A
2001-444,Bratislava CH,Clay,32,C
2005-M-SA-EGY-01A-2005b,Egypt 1 2,Clay,32,S
2006-M-FU-ESP-03A-2006,Spain F3,Clay,32,S
2001-M-SA-NED-01A-2001b,Netherlands 2,Clay,24,S
1998-M-FU-BRA-02A-1998,Brazil F2,Hard,32,S
1984-322,Geneva,Clay,32,A
1996-M-SA-GER-02A-1996d,Germany 2 Masters 4,Clay,32,S
2006-M-FU-ESP-29A-2006,Spain F29,Hard,32,S
2016-M-FU-BEL-13A-2016,Belgium F13,Clay,32,S
2005-M-FU-AUS-05A-2005,Australia F5,Hard,32,S
2005-M-SA-ISR-01A-2005b,Israel 1 2,Hard,24,S
2013-M-FU-KOR-06A-2013,Korea F6,Hard,32,S
2018-M-FU-SVK-03A-2018,Slovakia F3,Clay,32,S
2002-545,Seoul CH,Hard,32,C
2004-2152,Homestead CH,Hard,32,C
2017-M-FU-TUN-04A-2017,Tunisia F4,Clay,32,S
2006-M-FU-ITA-16A-2006,Italy F16,Clay,32,S
2013-M-FU-AUT-06A-2013,Austria F6,Clay,32,S
1981-326,Brisbane,Grass,32,A
2012-D077,Davis Cup G2 PO: ESA vs PAR,Hard,4,D
2000-M-SA-BUL-01A-2000b,Bulgaria 1 2,Clay,32,S
1993-M-SA-ESP-03A-1993a,Spain 3 Masters 1,Clay,24,S
2004-M-FU-USA-09A-2004,USA F9,Hard,32,S
2005-M-SA-GBR-04A-2005b,Great Britain 4 2,Hard,32,S
2011-M-FU-MEX-02A-2011,Mexico F2,Hard,32,S
1996-M-SA-ITA-04A-1996d,Italy 4 Masters 4,Clay,32,S
2004-D073,Davis Cup G2 PO: CUB vs HAI,Hard,4,D
2006-M-FU-POL-02A-2006,Poland F2,Hard,32,S
2005-M-FU-INA-03A-2005,Indonesia F3,Hard,32,S
2005-M-FU-MEX-12A-2005,Mexico F12,Hard,32,S
1995-M-SA-AUS-01A-1995b,Australia 1 Masters 2,Clay,32,S
2000-251,Kiev CH,Clay,32,C
1994-532,Belem CH,Hard,32,C
2020-9408,Sardinia,Clay,32,A
2015-M-FU-ESP-08A-2015,Spain F8,Hard,32,S
1990-741,Manchester,Grass,32,A
